_key,blue/0,blue/1,blue/2,red/0,red/1,red/2
1,3229,8033,3603,67,6722,2830
2,4422,7258,836,5586,3536,968
3,2714,1622,2383,5801,1678,3996
4,702,4571,7657,9138,2614,7197
5,9120,401,2910,3476,2881,3042
6,59,9097,4009,4481,1690,599
7,103,4381,4451,9031,3005,4786
8,1902,5557,2551,3539,1114,2834
9,461,157,9128,5199,3467,948
10,1165,4415,9105,1591,9072,2771
11,7451,1318,6702,5166,5985,8013
12,5427,2194,5010,5987,6800,3534
13,1701,1708,702,2337,7461,2630
14,2614,59,968,1622,6722,9138
15,4571,2910,4451,67,4009,1678
16,7197,4481,2383,5557,836,3229
17,103,3476,3467,599,2551,5586
18,2881,5801,3603,9031,1591,3536
19,3539,1165,5166,7258,2714,3042
20,4415,9120,8033,5985,2834,157
21,2194,6800,9128,7461,2771,9097
22,3996,4381,4422,948,1902,2630
23,401,3534,5010,461,8013,1701
24,7657,5987,5199,2337,9072,7451
25,4786,1318,5427,1690,1708,1114
26,1622,6702,3005,2881,9105,2830
27,702,4451,5586,2551,59,3539
28,7258,3229,5166,5801,2910,2614
29,4415,9031,5985,968,3476,4009
30,3536,4481,3042,3467,4571,6800
31,103,1591,9097,4422,401,6722
32,2630,3534,67,7657,5557,7461
33,1114,948,599,1708,5987,9120
34,836,2834,9072,2830,4786,2714
35,2771,3603,157,2383,5010,1902
36,9105,9128,8013,9138,5427,2337
37,6702,461,1690,1678,4381,7197
38,7451,2194,1165,1318,1701,8033
39,968,5199,401,3005,3996,3229
40,6722,5985,4481,4451,7657,2881
41,3534,4422,3539,1708,2614,4415
42,5987,2830,1591,2551,2714,2910
43,3603,9072,5010,7461,59,948
44,1902,599,3042,702,9031,5427
45,7197,103,3536,4381,2771,2337
46,7451,1701,4009,1114,9128,6702
47,461,4786,3476,7258,2194,4571
48,5801,8033,6800,5557,1690,3005
49,5166,9138,1678,5199,9120,836
50,9105,2383,2630,9097,1318,3467
51,157,67,1165,8013,5586,3996
52,401,7461,2834,1622,4481,5987
53,2714,1708,968,5010,7197,4451
54,4009,702,4422,3229,2881,9072
55,5427,2830,2771,2614,7258,7451
56,3042,2551,948,6702,4415,7657
57,5985,3539,4381,5801,5199,2194
58,3534,9120,1902,9128,3536,9097
59,2630,3476,1690,9138,67,103
60,2910,2337,2383,4786,8033,5586
61,1678,1591,59,1701,157,5557
62,4571,3005,599,1318,3603,8013
63,6722,2834,3996,5166,3467,9105
64,6800,461,1114,1165,1622,836
65,9031,5199,7461,5427,4422,2551
66,4381,702,9128,2830,968,4481
67,9120,2614,2714,2194,4009,103
68,9097,6702,2910,5010,3536,3539
69,5586,2881,5557,7451,4415,4786
70,2383,59,4571,1708,5985,3005
71,1690,3603,7657,157,401,7258
72,2337,1678,6722,599,2630,1165
73,1591,3996,1318,3534,3042,9072
74,9105,3229,9138,6800,1902,4451
75,5987,5166,67,3467,2771,461
76,8033,7197,9031,1114,8013,1622
77,836,948,1701,5801,2834,3476
78,4481,5427,5199,4415,5010,103
79,401,2551,2614,2383,7451,4381
80,9128,5586,1690,6722,4571,2714
81,2830,4009,3536,3996,157,1708
82,9072,5557,9138,599,2194,2910
83,5985,4786,3229,1678,3539,3467
84,7258,67,1318,1622,9120,702
85,5987,3005,7197,4422,1902,1701
86,6702,3534,2337,59,6800,9031
87,5166,8033,7461,4451,948,1591
88,2881,8013,2630,836,968,461
89,2771,9105,1114,3042,7657,5801
90,2834,9097,1708,3476,1165,3603
91,2194,5985,2830,3536,599,401
92,4786,5010,67,2551,9128,1318
93,4481,3539,3005,3996,7451,9138
94,2910,4415,6800,9031,1701,6722
95,7197,1622,5427,9072,5166,157
96,1902,968,4571,103,7461,6702
97,2614,836,3467,1591,2337,9120
98,8013,4451,1678,2834,4422,2771
99,948,2383,2881,1165,3534,1690
100,3229,7657,4381,8033,3476,59
101,5199,7258,5557,4009,9105,5987
102,2714,5801,1114,9097,702,461
103,5586,3042,1622,3603,2630,5985
104,401,9072,1708,9128,5166,1902
105,3005,3467,7451,2910,7197,7461
106,3539,1591,836,4571,5427,67
107,4481,9138,6702,4786,1165,4422
108,2771,1701,2551,9120,1690,3229
109,1318,5987,2614,8033,1678,2881
110,2337,968,7258,5557,9097,948
111,4451,3996,4415,3603,1114,2194
112,8013,2830,5801,3042,103,59
113,2834,9031,5586,461,5010,7657
114,2714,157,3534,4381,599,9105
115,3536,6722,3476,5199,2383,702
116,4009,2630,4786,6800,7197,1591
117,1902,2910,1165,1690,2614,5985
118,2881,1708,2771,2551,9138,8033
119,3467,4451,5557,5427,6702,401
120,4422,7451,9120,4571,5801,1622
121,3996,103,7258,59,9128,2834
122,8013,3042,4381,9097,5586,5987
123,1701,2714,5199,67,3603,4481
124,157,4009,6722,3005,836,3534
125,3476,1114,5166,5010,2337,2830
126,7461,461,4415,3536,3229,1318
127,948,1678,9031,702,9105,2194
128,7657,6800,599,968,3539,2383
129,9072,2551,5801,2630,4451,7258
