_key,blue/0,blue/1,blue/2,red/0,red/1,red/2
1,5024,5618,5988,2539,5411,1414
2,4122,930,2635,3668,319,5152
3,1072,5409,1745,2399,5895,5505
4,1218,9244,987,9076,587,25
5,2656,2230,1923,384,3655,6352
6,9022,4175,5089,1683,9007,4039
7,1983,3937,597,9008,3683,4561
8,3604,2974,5653,2240,3679,135
9,6090,7018,4779,6865,2403,4693
10,604,5419,2489,6823,694,4020
11,9125,6420,3374,9075,316,469
12,910,360,1241,176,1599,2638
13,5913,3620,6672,8576,1506,1923
14,1745,1218,5895,3668,4175,5988
15,4122,5089,3655,4561,5024,2399
16,5409,2656,2635,5618,930,9022
17,9244,5505,7018,3604,384,5411
18,2539,3683,1072,2230,4693,5152
19,469,6865,1683,135,6352,6823
20,2403,987,604,5653,4039,1241
21,9075,3620,8576,2638,5419,2240
22,2974,910,2489,9008,25,3374
23,316,176,319,9007,6090,694
24,4779,360,597,1414,4020,1506
25,3679,5913,9125,6420,3937,587
26,3668,9076,1599,1983,3655,6672
27,1072,384,1218,6352,5024,5089
28,1241,4122,5409,2539,469,2230
29,9244,5653,1745,7018,5618,3620
30,2399,5419,3604,1923,987,930
31,3683,316,2240,176,4561,5988
32,2403,319,6823,8576,3374,9022
33,5895,3937,4779,9075,1683,2974
34,1414,9076,694,25,5505,6865
35,6420,135,6090,9008,604,6672
36,4039,597,4175,5913,2635,360
37,9007,5411,1506,1599,9125,5152
38,4693,1983,910,3679,4020,2656
39,587,2489,3655,5653,316,2638
40,3374,3620,2399,3683,5618,1218
41,176,3668,3937,5409,9022,7018
42,1745,987,1683,384,8576,2539
43,2240,1923,6420,4779,1241,9076
44,135,4175,5419,1072,597,4122
45,9244,2974,5152,4561,5913,6823
46,9125,9008,694,4039,360,4693
47,5988,2656,5411,587,604,6865
48,3679,6672,5505,5024,9075,319
49,1983,5895,3604,469,910,6090
50,5089,1506,2635,2489,2230,2403
51,1414,1599,25,6352,2638,930
52,9007,6420,987,5409,4020,3655
53,4175,2539,176,3937,5419,9244
54,316,9008,9076,1241,6823,3668
55,587,2399,384,5152,135,4779
56,4561,9075,7018,694,1218,4039
57,360,6865,5618,910,319,5895
58,1923,3683,5411,5089,6090,8576
59,1983,2403,3679,4122,1414,604
60,2635,6352,4020,3374,2240,5505
61,2230,25,9125,2656,5024,3620
62,9022,9007,2974,1745,2638,597
63,930,5653,4693,5913,469,1506
64,1599,3604,1683,1072,5988,2489
65,360,2399,7018,6672,6420,2539
66,694,9244,5895,3683,4039,135
67,3655,8576,4561,4175,6865,3679
68,384,1983,176,2635,6823,5618
69,2240,4122,25,3937,6090,9125
70,2638,2230,2974,987,5411,319
71,6352,5409,3668,1506,587,9075
72,4020,9022,5024,1241,1923,3604
73,1683,930,9008,5505,1218,2403
74,5653,5988,1599,5419,4693,3374
75,597,6672,1414,5152,2489,469
76,5913,5089,4779,2656,1745,316
77,9007,9076,604,3620,910,1072
78,2638,7018,8576,2635,135,1983
79,5411,4122,6823,4039,2240,5409
80,9075,1241,2399,9244,4175,384
81,9022,2539,25,5895,3655,9008
82,1506,3679,5024,3374,1683,176
83,1218,1923,3937,6865,5152,5653
84,3683,2656,6420,2489,3668,1414
85,2230,6090,5618,5505,1599,5913
86,3604,4561,604,319,4779,9007
87,5419,6352,316,2403,1745,360
88,469,1072,987,5988,694,3620
89,930,9125,4020,9076,5089,2974
90,4693,597,2240,587,6672,910
91,5411,9008,2635,4122,9075,5653
92,3655,1506,1683,1241,7018,3683
93,3668,6865,2638,2399,2539,5913
94,8576,5505,9007,2656,9244,2489
95,316,9022,135,1218,1983,2230
96,1923,3374,360,25,604,5409
97,3620,176,2403,5895,2974,6420
98,9076,384,6090,597,5988,3679
99,930,910,4039,5024,4779,1072
100,6672,5618,4561,987,9125,6352
101,6823,3604,3937,4693,1414,1745
102,4175,587,4020,469,1599,319
103,5089,5152,1241,5419,694,1983
104,604,3668,2230,2240,1683,9244
105,2489,5895,9007,7018,1923,4122
106,597,2403,9075,2539,3655,2656
107,135,3374,5913,5411,176,9076
108,4561,1072,930,360,6420,384
109,6090,4693,1218,2974,1414,5409
110,910,5653,9125,9022,2399,6352
111,694,1745,5024,1599,2635,587
112,5618,469,5419,4779,3679,3683
113,1506,6823,4175,987,5505,2638
114,319,5988,6865,3620,9008,5089
115,5152,8576,4039,25,3604,316
116,4020,1072,2403,3937,6672,5411
117,3374,1241,2656,6090,4561,5895
118,6352,2489,9075,9076,4693,9022
119,6420,5409,1983,5024,597,9244
120,3655,1414,5419,1683,5913,910
121,5505,2539,3668,9125,135,1923
122,6823,3620,3679,930,4779,1599
123,7018,5152,9008,987,2240,4175
124,316,384,694,2974,1506,4122
125,360,2638,587,5618,5089,3604
126,5988,25,3683,6672,9007,5653
127,604,3937,469,2399,2635,8576
128,4020,4039,1745,6865,176,2230
129,319,1072,1241,1218,6352,2539
