_key,blue/0,blue/1,blue/2,red/0,red/1,red/2
1,9105,5431,8879,9988,5572,9997
2,1296,9999,9991,1745,418,2848
3,8874,9993,2583,6171,5414,3310
4,5411,2714,4192,6800,5212,4610
5,9992,2881,9991,6369,6377,9997
6,5572,9105,2848,2583,1296,6171
7,3310,9988,8879,9999,6800,8874
8,5431,1745,5414,9992,6377,2714
9,4610,4192,418,9993,6369,2881
10,5212,9999,3310,9991,9105,5411
11,2714,9997,6800,6377,1296,5572
12,418,9992,9993,8879,8874,4610
13,5414,2848,2583,4192,9988,6369
14,6171,1745,5212,2881,5411,5431
15,9997,8874,418,3310,2714,9105
16,6800,9991,6377,2583,4610,5572
17,4192,2881,1296,9999,5431,6171
18,9993,2848,9988,5411,9992,1745
19,8879,6369,6800,2714,5212,5414
20,5431,4192,6377,9991,3310,8874
21,9988,4610,9999,9997,6171,9993
22,5414,5572,9992,5212,418,2881
23,6369,2583,5411,1296,8879,1745
24,4610,9993,9105,2848,6800,5431
25,2881,6171,9988,418,9991,2714
26,8874,5414,6369,5572,5411,9999
27,9105,9997,9992,1745,2583,4192
28,6377,8879,5212,2848,3310,1296
